timestamp_unix,timestamp_iso,participant_full_id,sleep_detection_stage,missing_value_reason
1709337600000,2024-03-02T00:00:00Z,899-1-1-20,,device_not_recording
1709337660000,2024-03-02T00:01:00Z,899-1-1-20,,device_not_recording
1709337720000,2024-03-02T00:02:00Z,899-1-1-20,,device_not_recording
1709337780000,2024-03-02T00:03:00Z,899-1-1-20,,device_not_recording
1709337840000,2024-03-02T00:04:00Z,899-1-1-20,,device_not_recording
1709337900000,2024-03-02T00:05:00Z,899-1-1-20,,device_not_recording
1709337960000,2024-03-02T00:06:00Z,899-1-1-20,,device_not_recording
1709338020000,2024-03-02T00:07:00Z,899-1-1-20,,device_not_recording
1709338080000,2024-03-02T00:08:00Z,899-1-1-20,,device_not_recording
1709338140000,2024-03-02T00:09:00Z,899-1-1-20,,device_not_recording
1709338200000,2024-03-02T00:10:00Z,899-1-1-20,,device_not_recording
1709338260000,2024-03-02T00:11:00Z,899-1-1-20,,device_not_recording
1709338320000,2024-03-02T00:12:00Z,899-1-1-20,,device_not_recording
1709338380000,2024-03-02T00:13:00Z,899-1-1-20,,device_not_recording
1709338440000,2024-03-02T00:14:00Z,899-1-1-20,,device_not_recording
1709338500000,2024-03-02T00:15:00Z,899-1-1-20,,device_not_recording
1709338560000,2024-03-02T00:16:00Z,899-1-1-20,,device_not_recording
1709338620000,2024-03-02T00:17:00Z,899-1-1-20,,device_not_recording
1709338680000,2024-03-02T00:18:00Z,899-1-1-20,,device_not_recording
1709338740000,2024-03-02T00:19:00Z,899-1-1-20,,device_not_recording
1709338800000,2024-03-02T00:20:00Z,899-1-1-20,,device_not_recording
1709338860000,2024-03-02T00:21:00Z,899-1-1-20,,device_not_recording
1709338920000,2024-03-02T00:22:00Z,899-1-1-20,,device_not_recording
1709338980000,2024-03-02T00:23:00Z,899-1-1-20,,device_not_recording
1709339040000,2024-03-02T00:24:00Z,899-1-1-20,,device_not_recording
1709339100000,2024-03-02T00:25:00Z,899-1-1-20,,device_not_recording
1709339160000,2024-03-02T00:26:00Z,899-1-1-20,,device_not_recording
1709339220000,2024-03-02T00:27:00Z,899-1-1-20,,device_not_recording
1709339280000,2024-03-02T00:28:00Z,899-1-1-20,,device_not_recording
1709339340000,2024-03-02T00:29:00Z,899-1-1-20,,device_not_recording
1709339400000,2024-03-02T00:30:00Z,899-1-1-20,,device_not_recording
1709339460000,2024-03-02T00:31:00Z,899-1-1-20,,device_not_recording
1709339520000,2024-03-02T00:32:00Z,899-1-1-20,,device_not_recording
1709339580000,2024-03-02T00:33:00Z,899-1-1-20,,device_not_recording
1709339640000,2024-03-02T00:34:00Z,899-1-1-20,,device_not_recording
1709339700000,2024-03-02T00:35:00Z,899-1-1-20,,device_not_recording
1709339760000,2024-03-02T00:36:00Z,899-1-1-20,,device_not_recording
1709339820000,2024-03-02T00:37:00Z,899-1-1-20,,device_not_recording
1709339880000,2024-03-02T00:38:00Z,899-1-1-20,,device_not_recording
1709339940000,2024-03-02T00:39:00Z,899-1-1-20,,device_not_recording
1709340000000,2024-03-02T00:40:00Z,899-1-1-20,,device_not_recording
1709340060000,2024-03-02T00:41:00Z,899-1-1-20,,device_not_recording
1709340120000,2024-03-02T00:42:00Z,899-1-1-20,,device_not_recording
1709340180000,2024-03-02T00:43:00Z,899-1-1-20,,device_not_recording
1709340240000,2024-03-02T00:44:00Z,899-1-1-20,,device_not_recording
1709340300000,2024-03-02T00:45:00Z,899-1-1-20,,device_not_recording
1709340360000,2024-03-02T00:46:00Z,899-1-1-20,,device_not_recording
1709340420000,2024-03-02T00:47:00Z,899-1-1-20,,device_not_recording
1709340480000,2024-03-02T00:48:00Z,899-1-1-20,,device_not_recording
1709340540000,2024-03-02T00:49:00Z,899-1-1-20,,device_not_recording
1709340600000,2024-03-02T00:50:00Z,899-1-1-20,,device_not_recording
1709340660000,2024-03-02T00:51:00Z,899-1-1-20,,device_not_recording
1709340720000,2024-03-02T00:52:00Z,899-1-1-20,,device_not_recording
1709340780000,2024-03-02T00:53:00Z,899-1-1-20,,device_not_recording
1709340840000,2024-03-02T00:54:00Z,899-1-1-20,,device_not_recording
1709340900000,2024-03-02T00:55:00Z,899-1-1-20,,device_not_recording
1709340960000,2024-03-02T00:56:00Z,899-1-1-20,,device_not_recording
1709341020000,2024-03-02T00:57:00Z,899-1-1-20,,device_not_recording
1709341080000,2024-03-02T00:58:00Z,899-1-1-20,,device_not_recording
1709341140000,2024-03-02T00:59:00Z,899-1-1-20,,device_not_recording
