timestamp_unix,timestamp_iso,participant_full_id,accelerometers_std_g,missing_value_reason
1709424000000,2024-03-03T00:00:00Z,899-1-1-05,,device_not_recording
1709424060000,2024-03-03T00:01:00Z,899-1-1-05,,device_not_recording
1709424120000,2024-03-03T00:02:00Z,899-1-1-05,,device_not_recording
1709424180000,2024-03-03T00:03:00Z,899-1-1-05,,device_not_recording
1709424240000,2024-03-03T00:04:00Z,899-1-1-05,,device_not_recording
1709424300000,2024-03-03T00:05:00Z,899-1-1-05,,device_not_recording
1709424360000,2024-03-03T00:06:00Z,899-1-1-05,,device_not_recording
1709424420000,2024-03-03T00:07:00Z,899-1-1-05,,device_not_recording
1709424480000,2024-03-03T00:08:00Z,899-1-1-05,,device_not_recording
1709424540000,2024-03-03T00:09:00Z,899-1-1-05,,device_not_recording
1709424600000,2024-03-03T00:10:00Z,899-1-1-05,,device_not_recording
1709424660000,2024-03-03T00:11:00Z,899-1-1-05,,device_not_recording
1709424720000,2024-03-03T00:12:00Z,899-1-1-05,,device_not_recording
1709424780000,2024-03-03T00:13:00Z,899-1-1-05,,device_not_recording
1709424840000,2024-03-03T00:14:00Z,899-1-1-05,,device_not_recording
1709424900000,2024-03-03T00:15:00Z,899-1-1-05,,device_not_recording
1709424960000,2024-03-03T00:16:00Z,899-1-1-05,,device_not_recording
1709425020000,2024-03-03T00:17:00Z,899-1-1-05,,device_not_recording
1709425080000,2024-03-03T00:18:00Z,899-1-1-05,,device_not_recording
1709425140000,2024-03-03T00:19:00Z,899-1-1-05,,device_not_recording
1709425200000,2024-03-03T00:20:00Z,899-1-1-05,,device_not_recording
1709425260000,2024-03-03T00:21:00Z,899-1-1-05,,device_not_recording
1709425320000,2024-03-03T00:22:00Z,899-1-1-05,,device_not_recording
1709425380000,2024-03-03T00:23:00Z,899-1-1-05,,device_not_recording
1709425440000,2024-03-03T00:24:00Z,899-1-1-05,,device_not_recording
1709425500000,2024-03-03T00:25:00Z,899-1-1-05,,device_not_recording
1709425560000,2024-03-03T00:26:00Z,899-1-1-05,,device_not_recording
1709425620000,2024-03-03T00:27:00Z,899-1-1-05,,device_not_recording
1709425680000,2024-03-03T00:28:00Z,899-1-1-05,,device_not_recording
1709425740000,2024-03-03T00:29:00Z,899-1-1-05,,device_not_recording
1709425800000,2024-03-03T00:30:00Z,899-1-1-05,,device_not_recording
1709425860000,2024-03-03T00:31:00Z,899-1-1-05,,device_not_recording
1709425920000,2024-03-03T00:32:00Z,899-1-1-05,,device_not_recording
1709425980000,2024-03-03T00:33:00Z,899-1-1-05,,device_not_recording
1709426040000,2024-03-03T00:34:00Z,899-1-1-05,,device_not_recording
1709426100000,2024-03-03T00:35:00Z,899-1-1-05,,device_not_recording
1709426160000,2024-03-03T00:36:00Z,899-1-1-05,,device_not_recording
1709426220000,2024-03-03T00:37:00Z,899-1-1-05,,device_not_recording
1709426280000,2024-03-03T00:38:00Z,899-1-1-05,,device_not_recording
1709426340000,2024-03-03T00:39:00Z,899-1-1-05,,device_not_recording
1709426400000,2024-03-03T00:40:00Z,899-1-1-05,,device_not_recording
