timestamp_unix,timestamp_iso,time_offset,timezone_location,mobile_platform,mobile_platform_version,mobile_app,mobile_app_version,algo_version,embrace_fw_version,rest_algo_version
1709676621571,2024-03-05T22:10:21Z,,,ios,,com.empatica.healthmonitor.lab,5.30.1,9.0.2,,v1.3.3
1709676621578,2024-03-05T22:10:21Z,-18000,America/New_York,,,,,,,
1709676665732,2024-03-05T22:11:05Z,,,,,,,,4.24.3,
