timestamp_unix,timestamp_iso,participant_full_id,activity_intensity,missing_value_reason
1709164800000,2024-02-29T00:00:00Z,899-1-1-01,,device_not_recording
1709164860000,2024-02-29T00:01:00Z,899-1-1-01,,device_not_recording
1709164920000,2024-02-29T00:02:00Z,899-1-1-01,,device_not_recording
1709164980000,2024-02-29T00:03:00Z,899-1-1-01,,device_not_recording
1709165040000,2024-02-29T00:04:00Z,899-1-1-01,,device_not_recording
1709165100000,2024-02-29T00:05:00Z,899-1-1-01,,device_not_recording
1709165160000,2024-02-29T00:06:00Z,899-1-1-01,,device_not_recording
1709165220000,2024-02-29T00:07:00Z,899-1-1-01,,device_not_recording
1709165280000,2024-02-29T00:08:00Z,899-1-1-01,,device_not_recording
1709165340000,2024-02-29T00:09:00Z,899-1-1-01,,device_not_recording
1709165400000,2024-02-29T00:10:00Z,899-1-1-01,,device_not_recording
1709165460000,2024-02-29T00:11:00Z,899-1-1-01,,device_not_recording
1709165520000,2024-02-29T00:12:00Z,899-1-1-01,,device_not_recording
1709165580000,2024-02-29T00:13:00Z,899-1-1-01,,device_not_recording
1709165640000,2024-02-29T00:14:00Z,899-1-1-01,,device_not_recording
1709165700000,2024-02-29T00:15:00Z,899-1-1-01,,device_not_recording
1709165760000,2024-02-29T00:16:00Z,899-1-1-01,,device_not_recording
1709165820000,2024-02-29T00:17:00Z,899-1-1-01,,device_not_recording
1709165880000,2024-02-29T00:18:00Z,899-1-1-01,,device_not_recording
1709165940000,2024-02-29T00:19:00Z,899-1-1-01,,device_not_recording
1709166000000,2024-02-29T00:20:00Z,899-1-1-01,,device_not_recording
1709166060000,2024-02-29T00:21:00Z,899-1-1-01,,device_not_recording
1709166120000,2024-02-29T00:22:00Z,899-1-1-01,,device_not_recording
1709166180000,2024-02-29T00:23:00Z,899-1-1-01,,device_not_recording
1709166240000,2024-02-29T00:24:00Z,899-1-1-01,,device_not_recording
1709166300000,2024-02-29T00:25:00Z,899-1-1-01,,device_not_recording
1709166360000,2024-02-29T00:26:00Z,899-1-1-01,,device_not_recording
1709166420000,2024-02-29T00:27:00Z,899-1-1-01,,device_not_recording
1709166480000,2024-02-29T00:28:00Z,899-1-1-01,,device_not_recording
1709166540000,2024-02-29T00:29:00Z,899-1-1-01,,device_not_recording
1709166600000,2024-02-29T00:30:00Z,899-1-1-01,,device_not_recording
1709166660000,2024-02-29T00:31:00Z,899-1-1-01,,device_not_recording
1709166720000,2024-02-29T00:32:00Z,899-1-1-01,,device_not_recording
1709166780000,2024-02-29T00:33:00Z,899-1-1-01,,device_not_recording
1709166840000,2024-02-29T00:34:00Z,899-1-1-01,,device_not_recording
1709166900000,2024-02-29T00:35:00Z,899-1-1-01,,device_not_recording
1709166960000,2024-02-29T00:36:00Z,899-1-1-01,,device_not_recording
1709167020000,2024-02-29T00:37:00Z,899-1-1-01,,device_not_recording
1709167080000,2024-02-29T00:38:00Z,899-1-1-01,,device_not_recording
1709167140000,2024-02-29T00:39:00Z,899-1-1-01,,device_not_recording
1709167200000,2024-02-29T00:40:00Z,899-1-1-01,,device_not_recording
1709167260000,2024-02-29T00:41:00Z,899-1-1-01,,device_not_recording
1709167320000,2024-02-29T00:42:00Z,899-1-1-01,,device_not_recording
1709167380000,2024-02-29T00:43:00Z,899-1-1-01,,device_not_recording
1709167440000,2024-02-29T00:44:00Z,899-1-1-01,,device_not_recording
1709167500000,2024-02-29T00:45:00Z,899-1-1-01,,device_not_recording
1709167560000,2024-02-29T00:46:00Z,899-1-1-01,,device_not_recording
1709167620000,2024-02-29T00:47:00Z,899-1-1-01,,device_not_recording
1709167680000,2024-02-29T00:48:00Z,899-1-1-01,,device_not_recording
1709167740000,2024-02-29T00:49:00Z,899-1-1-01,,device_not_recording
1709167800000,2024-02-29T00:50:00Z,899-1-1-01,,device_not_recording
1709167860000,2024-02-29T00:51:00Z,899-1-1-01,,device_not_recording
1709167920000,2024-02-29T00:52:00Z,899-1-1-01,,device_not_recording
1709167980000,2024-02-29T00:53:00Z,899-1-1-01,,device_not_recording
1709168040000,2024-02-29T00:54:00Z,899-1-1-01,,device_not_recording
1709168100000,2024-02-29T00:55:00Z,899-1-1-01,,device_not_recording
1709168160000,2024-02-29T00:56:00Z,899-1-1-01,,device_not_recording
1709168220000,2024-02-29T00:57:00Z,899-1-1-01,,device_not_recording
1709168280000,2024-02-29T00:58:00Z,899-1-1-01,,device_not_recording
1709168340000,2024-02-29T00:59:00Z,899-1-1-01,,device_not_recording
1709168400000,2024-02-29T01:00:00Z,899-1-1-01,,device_not_recording
1709168460000,2024-02-29T01:01:00Z,899-1-1-01,,device_not_recording
1709168520000,2024-02-29T01:02:00Z,899-1-1-01,,device_not_recording
1709168580000,2024-02-29T01:03:00Z,899-1-1-01,,device_not_recording
1709168640000,2024-02-29T01:04:00Z,899-1-1-01,,device_not_recording
1709168700000,2024-02-29T01:05:00Z,899-1-1-01,,device_not_recording
1709168760000,2024-02-29T01:06:00Z,899-1-1-01,,device_not_recording
1709168820000,2024-02-29T01:07:00Z,899-1-1-01,,device_not_recording
1709168880000,2024-02-29T01:08:00Z,899-1-1-01,,device_not_recording
1709168940000,2024-02-29T01:09:00Z,899-1-1-01,,device_not_recording
1709169000000,2024-02-29T01:10:00Z,899-1-1-01,,device_not_recording
1709169060000,2024-02-29T01:11:00Z,899-1-1-01,,device_not_recording
1709169120000,2024-02-29T01:12:00Z,899-1-1-01,,device_not_recording
1709169180000,2024-02-29T01:13:00Z,899-1-1-01,,device_not_recording
1709169240000,2024-02-29T01:14:00Z,899-1-1-01,,device_not_recording
1709169300000,2024-02-29T01:15:00Z,899-1-1-01,,device_not_recording
1709169360000,2024-02-29T01:16:00Z,899-1-1-01,,device_not_recording
1709169420000,2024-02-29T01:17:00Z,899-1-1-01,,device_not_recording
1709169480000,2024-02-29T01:18:00Z,899-1-1-01,,device_not_recording
1709169540000,2024-02-29T01:19:00Z,899-1-1-01,,device_not_recording
1709169600000,2024-02-29T01:20:00Z,899-1-1-01,,device_not_recording
1709169660000,2024-02-29T01:21:00Z,899-1-1-01,,device_not_recording
1709169720000,2024-02-29T01:22:00Z,899-1-1-01,,device_not_recording
1709169780000,2024-02-29T01:23:00Z,899-1-1-01,,device_not_recording
1709169840000,2024-02-29T01:24:00Z,899-1-1-01,,device_not_recording
1709169900000,2024-02-29T01:25:00Z,899-1-1-01,,device_not_recording
1709169960000,2024-02-29T01:26:00Z,899-1-1-01,,device_not_recording
1709170020000,2024-02-29T01:27:00Z,899-1-1-01,,device_not_recording
1709170080000,2024-02-29T01:28:00Z,899-1-1-01,,device_not_recording
1709170140000,2024-02-29T01:29:00Z,899-1-1-01,,device_not_recording
1709170200000,2024-02-29T01:30:00Z,899-1-1-01,,device_not_recording
1709170260000,2024-02-29T01:31:00Z,899-1-1-01,,device_not_recording
1709170320000,2024-02-29T01:32:00Z,899-1-1-01,,device_not_recording
1709170380000,2024-02-29T01:33:00Z,899-1-1-01,,device_not_recording
1709170440000,2024-02-29T01:34:00Z,899-1-1-01,,device_not_recording
1709170500000,2024-02-29T01:35:00Z,899-1-1-01,,device_not_recording
1709170560000,2024-02-29T01:36:00Z,899-1-1-01,,device_not_recording
1709170620000,2024-02-29T01:37:00Z,899-1-1-01,,device_not_recording
1709170680000,2024-02-29T01:38:00Z,899-1-1-01,,device_not_recording
1709170740000,2024-02-29T01:39:00Z,899-1-1-01,,device_not_recording
1709170800000,2024-02-29T01:40:00Z,899-1-1-01,,device_not_recording
1709170860000,2024-02-29T01:41:00Z,899-1-1-01,,device_not_recording
1709170920000,2024-02-29T01:42:00Z,899-1-1-01,,device_not_recording
1709170980000,2024-02-29T01:43:00Z,899-1-1-01,,device_not_recording
1709171040000,2024-02-29T01:44:00Z,899-1-1-01,,device_not_recording
1709171100000,2024-02-29T01:45:00Z,899-1-1-01,,device_not_recording
1709171160000,2024-02-29T01:46:00Z,899-1-1-01,,device_not_recording
1709171220000,2024-02-29T01:47:00Z,899-1-1-01,,device_not_recording
1709171280000,2024-02-29T01:48:00Z,899-1-1-01,,device_not_recording
